year,doy,hour,mean,std
2013,121,8,0.005184,0.001296
2013,182,8,0.27648,0.06912
2013,182,9,0.208224,0.052056
2013,182,10,0.428328,0.107082
2013,182,11,0.58968,0.14742
2013,182,12,0.378432,0.094608
2013,204,9,0.5698080000000001,0.142452
2014,254,13,0.253044,0.063261
2014,295,12,0.154224,0.038556
2015,169,13,0.359208,0.089802
2015,202,8,0.408456,0.102114
2015,252,10,0.229824,0.057456
2015,284,11,0.189648,0.047412
2015,324,10,0.05616,0.01404
2016,82,10,0.0694323692307692,0.0173580923076923
2016,133,14,0.176202,0.0440505
2016,168,15,0.640224,0.160056
2016,199,14,0.6560640000000001,0.164016
2016,252,14,0.422712,0.105678
2016,293,10,0.0754488,0.0188622
2017,109,10,0.441594,0.1103985
2017,124,9,0.643176,0.160794
2017,173,7,0.43524,0.10881
2017,199,8,0.7517952000000001,0.1879488
2017,262,9,0.209808,0.052452
2017,298,10,0.150336,0.037584
2018,131,14,0.185004,0.046251
2018,160,9,0.159552,0.039888
2018,214,13,0.6848639999999999,0.1712159999999999
2018,262,13,0.4737960000000001,0.118449
2019,113,10,0.231912,0.057978
2019,155,16,0.556992,0.139248
2019,197,10,0.555048,0.138762
2019,233,10,0.52614,0.131535
2021,112,15,0.2430925714285714,0.0607731428571428
2021,173,10,0.17928,0.04482
2021,299,14,0.0626399999999999,0.0156599999999999
