year,doy,hour,mean,std
2013,121,8,0.000864,0.000216
2013,182,8,0.071712,0.017928
2013,182,9,0.0533952,0.0133488
2013,182,10,0.0765504,0.0191376
2013,182,11,0.1143936,0.0285984
2013,182,12,0.1271808,0.0317952
2013,204,9,0.074304,0.018576
2014,254,13,0.0451872,0.0112968
2014,295,12,0.0340416,0.0085104
2015,169,13,0.0526176,0.0131544
2015,202,8,0.0679968,0.0169992
2015,252,10,0.055296,0.013824
2015,284,11,0.0621216,0.0155304
2015,324,10,0.0074304,0.0018576
2016,82,10,0.03832704,0.00958176
2016,133,14,0.0454968,0.0113742
2016,168,15,0.1899792,0.0474948
2016,199,14,0.1600704,0.0400176
2016,252,14,0.0862272,0.0215568
2016,293,10,0.02547072,0.00636768
2017,109,10,0.0808704,0.0202176
2017,124,9,0.1090944,0.0272736
2017,173,7,0.0865728,0.0216432
2017,199,8,0.1323072,0.0330768
2017,262,9,0.0697536,0.0174384
2017,298,10,0.0094464,0.0023616
2018,131,14,0.0379296,0.0094824
2018,160,9,0.0342144,0.0085536
2018,214,13,0.1034784,0.0258696
2018,262,13,0.0591264,0.0147816
2019,113,10,0.0653616,0.0163404
2019,155,16,0.1611072,0.0402768
2019,197,10,0.1257264,0.0314316
2019,233,10,0.0950256,0.0237564
2021,112,15,0.0722304,0.0180576
2021,173,10,0.0758592,0.0189648
2021,299,14,0.0260351999999999,0.0065087999999999
