year,doy,hour,mean,std
2016,157,23,0.0031864269763645,0.0
2016,182,23,0.024493696880171,0.0002378850292883
2016,202,23,0.1978288534666329,0.0723525668230112
2016,230,23,0.0713422633636841,0.0073610771741715
2016,258,23,0.0884173600455652,0.0025413202769737
2016,279,23,0.0519574056997353,0.0
2016,297,23,0.0579639786633069,0.0001215152277445
2017,146,23,0.0337802529466031,0.0
2017,158,23,0.0066030876488761,0.0
2017,182,23,0.0102036349544268,0.0
2017,218,23,0.0026629933598567,2.688710332403199e-06
2017,252,23,0.0882852338994676,0.0
2019,160,23,0.1144490493244382,0.0
2020,177,23,0.0109354020651662,0.0
2020,226,23,0.0520194068649547,0.0
2021,151,23,0.0171423820584111,4.183244148045613e-05
2021,192,23,0.1725633745304496,0.0059512353686887
2021,217,23,0.0861399648372767,0.0
2021,234,23,0.0120444556367189,0.0
