year,doy,hour,mean,std
2013,182,8,0.001296,0.000324
2013,182,9,0.000864,0.000216
2013,182,10,0.00108,0.00027
2013,182,11,0.001296,0.000324
2013,182,12,0.001512,0.000378
2013,205,12,0.009288,0.002322
2013,260,15,0.00756,0.00189
2013,302,14,0.001728,0.000432
2014,167,11,0.001296,0.000324
2014,190,14,0.018576,0.004644
2014,190,15,0.007776,0.001944
2014,254,9,0.0081,0.002025
2014,295,10,0.006588,0.001647
2014,337,10,0.00108,0.00027
2015,98,13,0.000864,0.000216
2015,169,11,0.005616,0.001404
2015,169,12,0.008424,0.002106
2015,202,9,0.015984,0.003996
2015,202,10,0.010584,0.002646
2015,283,13,0.055728,0.013932
2015,324,11,0.004104,0.001026
2015,324,13,0.016416,0.004104
2016,82,13,0.001584,0.000396
2016,82,14,0.000864,0.000216
2016,134,8,0.0336919100591716,0.0084229775147929
2016,168,11,0.0118141714285714,0.0029535428571428
2016,201,13,0.0134784,0.0033696
2016,252,8,0.016128,0.004032
2016,292,13,0.0045475714285714,0.0011368928571428
2016,341,10,0.0050928,0.0012732
2017,109,11,0.0052221428571428,0.0013055357142857
2017,124,12,0.030900825,0.00772520625
2017,172,8,0.0494602971428571,0.0123650742857142
2017,199,7,0.0105624,0.0026406
2017,262,11,0.001296,0.000324
2017,312,9,0.01152,0.00288
2018,108,12,0.000432,0.000108
2018,108,13,0.000648,0.000162
2018,160,8,0.01187676,0.00296919
2018,214,10,0.0036874285714285,0.0009218571428571
2018,262,9,0.002718,0.0006795
2019,113,11,0.003672,0.000918
2019,113,12,0.0012096,0.0003024
2019,155,13,0.041364,0.010341
2019,197,11,0.0282888,0.0070722
2021,112,13,0.004248,0.001062
2021,138,13,0.069984,0.017496
2021,173,13,0.0011232,0.0002808
