year,doy,hour,mean,std
2017,109,11,0.0880704,0.0220176
2017,124,12,0.0890208,0.0222552
2017,172,8,0.1190232,0.0297558
2017,199,7,0.1022976,0.0255744
2017,262,11,0.09686736,0.02421684
2017,312,9,0.0024192,0.0006048
2018,108,13,0.1009152,0.0252288
2018,131,12,0.1107648,0.0276912
2018,160,8,0.0593856,0.0148464
2018,214,10,0.0687744,0.0171936
2018,262,9,0.1018656,0.0254664
2019,155,13,0.1134,0.02835
2019,197,11,0.1493856,0.0373464
2019,233,9,0.1696896,0.0424224
2021,112,13,0.0751248,0.0187812
2021,299,13,0.10786176,0.02696544
