year,doy,hour,mean,std
2011,55,23,384.8040861563945,96.20102153909862
2012,52,23,416.7177596669625,104.17943991674062
2013,51,23,409.4553115677003,102.36382789192508
2014,56,23,436.8080715983897,109.20201789959742
2015,62,23,516.6221449211272,129.1555362302818
2016,61,23,496.7431591987227,124.18578979968068
2017,59,23,541.9404053744161,135.485101343604
2018,58,23,564.0602175007944,141.0150543751986
2019,57,23,612.1962821525592,153.0490705381398
2020,57,23,658.1148627127125,164.52871567817812
2021,59,23,701.250868841889,175.31271721047224
