year,doy,hour,mean,std
2016,127,9,3.5,0.875
2016,158,9,6.0,1.5
2016,159,9,5.1,1.275
2016,230,9,7.516666666666666,1.8791666666666664
2017,170,9,8.902414222854937,2.225603555713734
2017,174,9,6.059218500502913,1.5148046251257283
2017,177,9,8.20160751249985,2.0504018781249624
2017,226,9,7.316431393098743,1.8291078482746856
2017,230,9,6.545562762342522,1.6363906905856305
2017,231,9,4.610067493594933,1.1525168733987332
2017,234,9,5.37707176237874,1.344267940594685
2019,233,8,6.762482883111145,0.08737633057078843
2019,233,12,6.213892189987083,0.1817981986192129
2019,234,9,10.88955380151858,3.962209202512021
