year,doy,hour,mean,std
2013,121,8,-0.003024,-0.000756
2013,182,8,-0.0972,-0.0243
2013,182,9,-0.074736,-0.018684
2013,182,10,-0.236952,-0.059238
2013,182,11,-0.303696,-0.075924
2013,182,12,-0.06048,-0.01512
2013,203,13,-0.158544,-0.039636
2014,254,15,-0.061992,-0.015498
2014,294,11,-0.159192,-0.039798
2015,169,8,-0.258552,-0.064638
2015,202,12,-0.13176,-0.03294
2015,283,9,-0.125496,-0.031374
2016,83,10,-0.01345095,-0.0033627375
2016,134,13,-0.03384,-0.00846
2016,134,14,-0.080136,-0.020034
2016,168,8,-0.01971,-0.0049275
2016,200,12,-0.145224,-0.036306
2016,252,10,-0.476784,-0.119196
2016,292,9,-0.157536,-0.039384
2016,342,10,-0.00918,-0.002295
2017,109,14,-0.019872,-0.004968
2017,125,9,-0.2316924,-0.0579231
2017,171,10,-0.324684,-0.081171
2017,200,12,-0.183672,-0.045918
2017,262,14,-0.131058,-0.0327645
2017,311,10,-0.18576,-0.04644
2018,131,9,-0.284256,-0.071064
2018,159,9,-0.194742,-0.0486855
2018,213,13,-0.137862,-0.0344655
2018,261,13,-0.0698976,-0.0174744
2019,114,10,-0.107424,-0.026856
2019,155,9,-0.197496,-0.049374
2019,197,15,-0.258732,-0.064683
2019,231,11,-0.243072,-0.060768
2021,112,9,-0.047016,-0.011754
2021,138,9,-0.157968,-0.039492
2021,174,9,-0.233388,-0.058347
2021,299,9,0.0003085714285714,7.71428571428571e-05
