year,doy,hour,mean,std
2011,365,23,45.03222058062764,11.25805514515691
2012,365,23,30.43143697001092,7.60785924250273
2013,365,23,49.08675823285104,12.27168955821276
2014,365,23,48.97057834806719,12.242644587016798
2015,365,23,63.78286543546242,15.945716358865605
2016,365,23,38.45927301190479,9.614818252976198
2017,365,23,42.222924204554,10.5557310511385
2018,365,23,48.16500834213889,12.041252085534722
2019,365,23,62.93731673042844,15.73432918260711
2020,365,23,64.59579937138044,16.14894984284511
2021,365,23,64.74114275597933,16.18528568899483
