year,doy,hour,mean,std
2013,121,8,0.00216,0.00054
2013,182,8,0.17928,0.04482
2013,182,9,0.133488,0.033372
2013,182,10,0.191376,0.047844
2013,182,11,0.285984,0.071496
2013,182,12,0.317952,0.079488
2013,203,12,0.211248,0.052812
2014,254,14,0.106272,0.026568
2014,294,10,0.070416,0.017604
2015,169,7,0.116856,0.029214
2015,202,10,0.219456,0.054864
2015,283,8,0.12744,0.03186
2015,324,14,0.034992,0.008748
2016,83,9,0.034722,0.0086805
2016,134,13,0.125568,0.031392
2016,168,9,0.219744,0.054936
2016,200,10,0.127008,0.031752
2016,200,11,0.294336,0.073584
2016,252,9,0.17838,0.044595
2016,292,8,0.075942,0.0189855
2016,342,11,0.027576,0.006894
2017,109,13,0.071298,0.0178245
2017,125,8,0.164448,0.041112
2017,171,9,0.280026,0.0700065
2017,200,11,0.25866,0.064665
2017,200,12,0.25488,0.06372
2017,263,11,0.287802,0.0719505
2017,311,10,0.033984,0.008496
2018,108,8,0.152928,0.038232
2018,159,8,0.167472,0.041868
2018,198,8,0.18036,0.04509
2018,213,11,0.144792,0.036198
2018,261,11,0.162972,0.040743
2018,261,12,0.16416,0.04104
2019,114,11,0.093672,0.023418
2019,155,9,0.327312,0.081828
2019,197,14,0.31158,0.077895
2019,231,10,0.363528,0.090882
2021,112,8,0.0324,0.0081
2021,138,9,0.064764,0.016191
2021,174,8,0.24264,0.06066
2021,265,8,0.188892,0.047223
2021,299,9,0.149688,0.037422
