year,doy,hour,mean,std
2013,121,8,0.001296,0.00054
2013,182,8,0.107568,0.04482
2013,182,9,0.08009279999999999,0.033372
2013,182,10,0.11482559999999999,0.047844
2013,182,11,0.1715904,0.071496
2013,182,12,0.1907712,0.079488
2013,203,12,0.1267488,0.052812
2014,254,14,0.0637632,0.026568
2014,294,10,0.042249600000000005,0.017604
2015,169,7,0.0701136,0.029214
2015,202,10,0.1316736,0.054864
2015,283,8,0.07646399999999999,0.03186
2015,324,14,0.020995200000000002,0.008748
2016,83,9,0.0208332,0.0086805
2016,134,13,0.0753408,0.031392
2016,168,9,0.1318464,0.054936
2016,200,10,0.0762048,0.031752
2016,200,11,0.1766016,0.073584
2016,252,9,0.107028,0.044595
2016,292,8,0.04556519999999999,0.0189855
2016,342,11,0.0165456,0.006894
2017,109,13,0.0427788,0.0178245
2017,125,8,0.0986688,0.041112
2017,171,9,0.1680156,0.0700065
2017,200,11,0.155196,0.064665
2017,200,12,0.15292799999999998,0.06372
2017,263,11,0.1726812,0.0719505
2017,311,10,0.0203904,0.008496
2018,108,8,0.0917568,0.038232
2018,159,8,0.10048320000000001,0.041868
2018,198,8,0.10821599999999999,0.04509
2018,213,11,0.0868752,0.036198
2018,261,11,0.0977832,0.040743
2018,261,12,0.098496,0.04104
2019,114,11,0.0562032,0.023418
2019,155,9,0.19638719999999998,0.081828
2019,197,14,0.186948,0.077895
2019,231,10,0.2181168,0.090882
2021,112,8,0.01944,0.0081
2021,138,9,0.0388584,0.016191
2021,174,8,0.145584,0.06066
2021,265,8,0.1133352,0.047223
2021,299,9,0.08981279999999998,0.037422
