year	doy	hour	Tair	Tsoil	RH	VPD	Rain	WS	PAR	CO2	PSRF	Ndep
2011	1	0	-12.85	0.73	90.3	-9999	0	3.519	0	423.65131	95749.9965	-9999
2011	1	1	-12.8	0.73	91.8	-9999	0	3.542	0	421.95886	95699.852	-9999
2011	1	2	-12.75	0.72	92.65	-9999	0	3.68	0	420.33026	95599.906	-9999
2011	1	3	-12.5	0.73	93.6	-9999	0	1.748	0	416.7793	95599.906	-9999
2011	1	4	-12.3	0.73	93.9	-9999	0	0.805	0	419.44891	95499.969	-9999
2011	1	5	-12.6	0.72	93.95	-9999	0	0.598	0	417.04752	95499.969	-9999
2011	1	6	-12.75	0.71	93.35	-9999	0	1.219	0	417.13055	95549.9375	-9999
2011	1	7	-15.15	0.65	89.75	-9999	0	1.426	0	415.89792	95599.906	-9999
2011	1	8	-17.25	0.59	88.5	-9999	0	1.242	0	422.20154	95649.879	-9999
2011	1	9	-18.25	0.6	88.15	-9999	0	1.38	0.351	420.13226	95800.141	-9999
2011	1	10	-19	0.61	87.45	-9999	0	1.311	2.86	414.62695	95950.0585	-9999
2011	1	11	-18.75	0.64	86.85	-9999	0	1.656	7.124	415.59775	96099.969	-9999
2011	1	12	-17.3	0.71	85.95	-9999	0	1.288	17.979	412.94092	96099.969	-9999
2011	1	13	-16.05	0.76	85.4	-9999	0	1.679	22.62	411.95099	96149.9415	-9999
2011	1	14	-14.45	0.82	85.05	-9999	0	2.208	24.583	411.01852	96249.883	-9999
2011	1	15	-14.35	0.76	84.65	-9999	0	2.323	19.747	413.24109	96350	-9999
2011	1	16	-14.55	0.76	83.6	-9999	0	2.415	16.757	417.23273	96500.086	-9999
2011	1	17	-15.25	0.68	84.9	-9999	0	2.806	6.266	416.40884	96650	-9999
2011	1	18	-15.6	0.65	85.8	-9999	0	2.277	1.755	414.12244	96699.969	-9999
2011	1	19	-15.5	0.67	87.1	-9999	0	2.415	0	417.94803	96799.914	-9999
2011	1	20	-15.75	0.66	86.35	-9999	0	2.461	0	424.60291	96899.852	-9999
2011	1	21	-17.05	0.59	86.4	-9999	0	1.794	0.026	428.07727	96950	-9999
2011	1	22	-18.25	0.56	87.9	-9999	0	1.564	0	424.37939	97000.148	-9999
2011	1	23	-19.15	0.54	89.2	-9999	0	1.219	0.026	432.31799	97000.148	-9999
2011	2	0	-18	0.61	89.1	-9999	0	1.909	0	444.89969	97050.117	-9999
2011	2	1	-18.5	0.6	87.75	-9999	0	1.38	0.065	443.3222	97100.086	-9999
2011	2	2	-19.05	0.59	88	-9999	0	1.426	0.065	439.06232	97000.148	-9999
2011	2	3	-19	0.63	87.45	-9999	0	1.679	0	437.36984	97050.117	-9999
