year,doy,hour,mean,std
2011,242,12,0.0495504,0.0123876
2011,243,10,0.067896,0.016974
2011,243,11,0.07516800000000001,0.018792000000000003
2011,244,11,-0.010224,-0.002556
2011,244,12,0.16056,0.04014
2011,271,7,0.105408,0.026352
2011,271,9,-0.050976,-0.012744
2011,271,10,0.055296,0.013824
2011,272,9,-0.031104,-0.007776
2011,272,11,-0.07128000000000001,-0.017820000000000003
2011,272,12,0.038664,0.009666
2011,299,8,0.0324,0.0081
2011,299,11,-0.028944,-0.007236
2011,299,12,-0.011232,-0.002808
2012,137,6,0.003456,0.000864
2012,137,7,-0.024624,-0.006156
2012,137,8,-0.05184,-0.01296
2012,137,9,-0.124416,-0.031104
2012,165,13,-0.093528,-0.023382
2012,200,8,-0.112752,-0.028188
2012,200,9,-0.279072,-0.069768
2012,200,11,-0.052272,-0.013068
2012,200,12,0.014256,0.003564
2012,271,6,-0.029376,-0.007344
2012,271,9,-0.131328,-0.032832
2012,271,10,0.0008640000000000002,0.00021600000000000005
2012,306,7,0.00216,0.00054
2012,306,10,-0.018576,-0.004644
2012,306,11,0.04752000000000001,0.011880000000000002
2013,182,6,-0.09720000000000001,-0.024300000000000002
2013,182,7,-0.074736,-0.018684
2013,182,8,-0.236952,-0.059238
2013,182,9,-0.303696,-0.075924
2013,182,10,-0.06048,-0.01512
2013,205,10,-0.06825600000000001,-0.017064000000000003
2013,260,8,-0.228096,-0.057024
