year,doy,hour,mean,std
2011,242,12,0.01345371428571429,0.0033634285714285723
2011,243,9,0.004104,0.001026
2011,243,10,0.0045864,0.0011466
2011,243,11,0.008496,0.002124
2011,244,10,0.003312,0.000828
2011,244,11,0.0054432,0.0013608
2011,244,12,0.005369142857142857,0.0013422857142857143
2011,271,6,0.006696000000000001,0.0016740000000000004
2011,271,7,0.002736,0.000684
2011,271,9,0.002592000000000001,0.0006480000000000002
2011,271,10,0.002376,0.000594
2011,271,12,0.002376,0.000594
2011,271,14,0.007776,0.001944
2011,272,9,0.006264,0.001566
2011,272,11,0.002304,0.000576
2011,272,12,0.003168,0.000792
2011,299,7,0.001944,0.000486
2011,299,8,0.00144,0.00036
2011,299,11,0.001296,0.000324
2011,299,12,0.001728,0.000432
2012,137,6,0.000432,0.000108
2012,137,7,0.000432,0.000108
2012,137,8,0.000432,0.000108
2012,137,9,0.000432,0.000108
2012,165,13,0.0015660000000000001,0.00039150000000000003
2012,200,8,0.007236,0.001809
2012,200,9,0.005508000000000001,0.0013770000000000002
2012,200,11,0.004752,0.001188
2012,200,12,0.004752,0.001188
2012,271,6,0.001188,0.000297
2012,271,9,0.0008640000000000001,0.00021600000000000002
2012,271,10,0.00108,0.00027
2012,306,6,0.000648,0.000162
2012,306,7,0.000702,0.0001755
2012,306,10,0.000432,0.000108
2012,306,11,0.000648,0.000162
2013,182,6,0.001296,0.000324
2013,182,7,0.0008640000000000001,0.00021600000000000002
2013,182,8,0.00108,0.00027
2013,182,9,0.001296,0.000324
2013,182,10,0.001512,0.000378
2013,203,10,0.003456000000000001,0.0008640000000000003
2013,261,9,0.019224,0.004806
2013,261,10,0.005184000000000001,0.0012960000000000003
2013,303,6,0.00108,0.00027
