year,doy,hour,mean,std
2011,242,12,0.1666656,0.0416664
2011,243,10,0.09432,0.02358
2011,243,11,0.117072,0.029268
2011,244,11,0.185616,0.046404
2011,244,12,0.08621999999999999,0.021554999999999998
2011,271,7,0.008207999999999993,0.0020519999999999983
2011,271,9,0.174528,0.043632
2011,271,10,0.08035199999999999,0.020087999999999998
2011,272,9,0.121392,0.030348
2011,272,11,0.141696,0.035424
2011,272,12,0.042552,0.010638
2011,299,8,0.004968,0.001242
2011,299,11,0.052272,0.013068
2011,299,12,0.054864,0.013716
2012,137,6,0.046224,0.011556
2012,137,7,0.07128000000000001,0.017820000000000003
2012,137,8,0.094176,0.023544
2012,137,9,0.163296,0.040824
2012,165,13,0.26125200000000004,0.06531300000000001
2012,200,8,0.336744,0.084186
2012,200,9,0.462456,0.115614
2012,200,11,0.21816,0.05454
2012,200,12,0.158112,0.039528
2012,271,6,0.084024,0.021006
2012,271,9,0.222048,0.055512
2012,271,10,0.19548,0.04887
2012,306,7,0.02916,0.00729
2012,306,10,0.05270400000000001,0.013176000000000002
2012,306,11,0.007343999999999996,0.001835999999999999
2013,182,6,0.27648,0.06912
2013,182,7,0.208224,0.052056
2013,182,8,0.428328,0.107082
2013,182,9,0.58968,0.14742
2013,182,10,0.378432,0.094608
2013,203,7,0.403704,0.100926
2013,261,12,0.110592,0.027648
2013,303,8,0.022464,0.005616
