year,doy,hour,mean,std
2014,167,7,0.00216,0.00054
2014,190,10,0.006264000000000001,0.0015660000000000003
2014,254,11,0.0079488,0.0019872
2014,295,10,0.006588000000000001,0.0016470000000000002
2014,338,9,0.001296,0.000324
2015,98,9,0.000432,0.000108
2015,169,11,0.002484,0.000621
2015,202,6,0.025596,0.006399
2015,252,8,0.024732,0.006183
2015,284,9,0.026352,0.006588
2015,324,8,0.003672000000000001,0.0009180000000000002
2016,82,8,0.000846,0.0002115
2016,133,12,0.0059832,0.0014958
2016,168,13,0.003024000000000001,0.0007560000000000003
2016,199,12,0.006014769230769232,0.001503692307692308
2016,252,12,0.005692235294117647,0.0014230588235294118
2016,293,8,0.004987393188854489,0.0012468482972136223
2016,342,12,0.002076685714285714,0.0005191714285714285
2017,109,8,0.0007714285714285715,0.00019285714285714286
2017,124,7,0.002592,0.000648
2017,173,5,0.007128000000000001,0.0017820000000000002
2017,199,6,0.0057348,0.0014337
2017,262,7,0.002952000000000001,0.0007380000000000003
2017,298,8,0.005558400000000001,0.0013896000000000002
2017,312,8,0.0025488,0.0006372
2018,109,8,0.0005184,0.0001296
2018,131,12,0.0005554285714285714,0.00013885714285714285
2018,160,7,0.0034704,0.0008676
2018,214,11,0.0108,0.0027
2018,262,11,0.014499,0.00362475
2019,113,8,0.0004369090909090909,0.00010922727272727272
2019,155,14,0.02538,0.006345
2019,197,8,0.012531,0.00313275
2019,233,8,0.001492363636363636,0.000373090909090909
2021,112,13,0.001423836734693878,0.0003559591836734695
2021,138,13,0.01092,0.00273
2021,173,8,0.0009432426035502958,0.00023581065088757396
2021,299,12,0.000402,0.0001005
