year,doy,hour,mean,std
2014,167,9,0.48168,0.12042
2014,190,12,0.23155200000000004,0.05788800000000001
2014,254,13,0.25304400000000005,0.06326100000000001
2014,295,12,0.154224,0.038556
2015,169,13,0.35920799999999997,0.08980199999999999
2015,202,8,0.408456,0.102114
2015,252,10,0.229824,0.057456
2015,284,11,0.18964799999999998,0.047411999999999996
2015,324,10,0.05616,0.01404
2016,82,10,0.10242000000000001,0.025605000000000003
2016,133,14,0.17530559999999998,0.043826399999999995
2016,168,15,0.7599239999999999,0.18998099999999998
2016,199,14,0.744876,0.186219
2016,252,14,0.433008,0.108252
2016,293,10,0.076896,0.019224
2017,109,10,0.4477679999999999,0.11194199999999997
2017,144,9,0.6676560000000001,0.16691400000000003
2017,173,7,0.21722400000000006,0.054306000000000014
2017,199,8,0.7756919999999999,0.19392299999999998
2017,262,9,0.16603200000000004,0.04150800000000001
2017,298,10,0.21135600000000002,0.052839000000000004
2018,109,10,0.23965200000000003,0.05991300000000001
2018,131,14,0.10137600000000001,0.025344000000000002
2018,160,9,0.22885199999999997,0.05721299999999999
2018,214,13,0.5967,0.149175
2018,262,13,0.565704,0.141426
2019,113,10,0.223884,0.055971
2019,155,16,0.7823519999999999,0.19558799999999998
2019,197,10,0.5353800000000001,0.13384500000000002
2019,233,10,0.49885199999999996,0.12471299999999999
2021,112,15,0.252648,0.063162
2021,138,15,0.058968,0.014742
2021,173,10,0.082008,0.020502
2021,299,14,0.0561168,0.0140292
