year,doy,hour,mean,std
2014,167,11,0.243,0.243
2014,190,14,0.296136,0.296136
2014,190,15,0.30585599999999996,0.30585599999999996
2015,98,13,0.038231999999999995,0.038231999999999995
2015,169,11,0.07776000000000001,0.06048308563557254
2015,169,12,0.07387200000000001,0.058650264858737006
2015,203,9,0.0567,0.03986385189617281
2015,203,10,0.057347999999999996,0.04536231422667939
2015,283,13,0.054918,0.02231840316868571
2015,324,11,0.025272,0.021077438933608608
2015,324,13,0.03466799999999999,0.01695359218572866
2016,82,13,0.10773,0.05017346876587267
2016,82,14,0.06831,0.04070389475222241
2016,134,8,0.040311,0.030700555369569456
2016,168,11,0.14903999999999998,0.054685978897702846
2016,201,13,0.203229,0.05785940618430161
2016,252,8,0.07793549999999999,0.04697026192177343
2016,292,13,0.113157,0.04634927300400731
2016,341,10,0.025703999999999994,0.016153132204003034
2017,109,11,0.08748,0.038811539727251224
2017,144,12,0.09890639999999998,0.028947255936271392
2017,172,8,0.1240245,0.04157054015766455
2017,199,7,0.061695,0.030552278671156435
2017,262,11,0.12114899999999999,0.04872993630203103
2017,312,9,0.026973,0.008652759328676604
2018,108,12,0.173988,0.173988
2018,108,13,0.090882,0.05154808434849932
2018,131,12,0.111942,0.032761671385935116
2018,160,8,0.029781,0.02522123747955282
2018,214,10,0.148689,0.06833168193451702
2018,262,9,0.05778,0.01999721420598381
2019,113,11,0.090234,0.03138705580330847
2019,113,12,0.050544,0.050544
2019,155,13,0.128709,0.04047050526000386
2019,197,11,0.152604,0.055460497509488664
2019,233,9,0.091125,0.026917849022535214
2021,112,13,0.14579999999999999,0.11088565699854963
2021,138,13,0.169776,0.1411271998163359
2021,173,13,0.156006,0.08591347391416554
2021,201,9,0.0603288,0.03308241502188135
2021,266,9,0.0653184,0.030058260740102708
2021,299,13,0.060371999999999995,0.01359342076153019
