year,doy,hour,mean,std
2014,167,9,0.06912,0.01728
2014,190,13,0.11767680000000001,0.029419200000000003
2014,254,7,0.0516672,0.0129168
2014,295,8,0.026697600000000002,0.0066744000000000005
2014,337,8,0.004492800000000001,0.0011232000000000002
2015,169,9,0.0573696,0.0143424
2015,169,10,0.068256,0.017064
2015,202,7,0.1043712,0.0260928
2015,202,8,0.09037440000000001,0.022593600000000002
2015,283,11,0.057456,0.014364
2015,324,9,0.0174528,0.0043632
2015,324,11,0.023673600000000003,0.005918400000000001
2016,82,11,0.0199584,0.0049896
2016,82,12,0.044064,0.011016
2016,134,6,0.042888960000000004,0.010722240000000001
2016,168,9,0.0988416,0.0247104
2016,201,11,0.05912228571428572,0.01478057142857143
2016,252,6,0.10501920000000001,0.026254800000000002
2016,292,11,0.036662400000000005,0.009165600000000001
2016,341,8,0.024192,0.006048
2017,109,9,0.10368,0.02592
2017,124,10,0.08902080000000001,0.022255200000000003
2017,172,6,0.11219657142857145,0.028049142857142863
2017,199,5,0.1441728,0.0360432
2017,312,7,0.01005696,0.00251424
2018,108,11,0.10091520000000001,0.025228800000000003
2018,131,10,0.1107648,0.0276912
2018,160,6,0.0741312,0.0185328
2018,214,8,0.08262308571428573,0.02065577142857143
2018,262,7,0.14048639999999998,0.035121599999999996
2019,113,9,0.06229440000000001,0.015573600000000002
2019,155,11,0.11048832,0.02762208
2019,197,9,0.1493856,0.0373464
2021,112,11,0.0751248,0.0187812
2021,138,11,0.0727488,0.0181872
2021,173,11,0.135648,0.033912
2021,266,7,0.245952,0.061488
2021,299,11,0.10786176000000001,0.026965440000000004
