year,doy,hour,mean,std
2014,167,8,0.24624,0.06156
2014,190,12,0.3672,0.0918
2014,254,8,0.130248,0.032562
2014,294,12,0.052272,0.013068
2014,294,13,0.03412800000000001,0.008532000000000003
2015,98,11,0.033696,0.008424
2015,169,8,0.14688,0.03672
2015,202,12,0.295056,0.073764
2015,283,12,0.13608,0.03402
2015,324,11,0.00216,0.00054
2016,82,12,0.057072,0.014268
2016,134,6,0.06048000000000001,0.015120000000000003
2016,134,7,0.100008,0.025002
2016,168,11,0.3136937142857143,0.07842342857142857
2016,201,10,0.352008,0.088002
2016,252,6,0.147504,0.036876
2016,292,10,0.158868,0.039717
2016,292,11,0.199728,0.049932
2016,341,8,0.019872,0.004968
2017,109,9,0.063612,0.015903
2017,124,9,0.1655177142857143,0.041379428571428574
2017,171,12,0.193896,0.048474
2017,200,5,0.268992,0.067248
2017,200,6,0.173232,0.043308
2017,262,10,0.1882902857142857,0.04707257142857142
2017,311,11,0.0170208,0.0042552
2018,108,10,0.06631200000000001,0.016578000000000002
2018,131,8,0.083808,0.020952
2018,131,9,0.112104,0.028026
2018,160,6,0.1954368,0.0488592
2018,214,7,0.173664,0.043416
2018,262,6,0.126576,0.031644
2019,113,11,0.129384,0.032346
2019,155,10,0.6659280000000001,0.16648200000000002
2019,155,11,0.25776,0.06444
2019,197,10,0.294912,0.073728
2019,231,12,0.2810592,0.0702648
2021,112,9,0.059184,0.014796
2021,138,10,0.177552,0.044388
2021,173,10,0.2113714285714286,0.05284285714285715
2021,201,6,0.1997568,0.0499392
2021,266,6,0.12888,0.03222
2021,299,10,0.10116,0.02529
