year,doy,hour,mean,std
2016,129,9,5.05,1.2625
2016,158,9,5.016666666666667,1.2541666666666669
2017,171,9,11.35961199548958,2.839902998872395
2017,174,9,5.069009366100333,1.2672523415250831
2017,177,9,7.24713225048306,1.811783062620765
2017,180,9,7.308261494660254,1.8270653736650635
2017,227,9,6.980455506715922,1.7451138766789804
2017,230,9,12.65878424276158,3.164696060690395
2017,231,9,11.0062828779321,2.751570719483025
2017,234,9,8.641264124016102,2.1603160310040255
2019,233,13,8.512418274172228,3.639839226499087
