year,doy,hour,mean,std
2014,167,13,0.12873600000000002,0.5
2014,191,9,0.274104,0.5
2015,169,8,0.35532,0.5
2015,202,12,0.270648,0.5
2015,283,9,0.23824800000000004,0.5
2016,83,10,0.024397200000000004,0.5
2016,134,13,0.132732,0.5
2016,134,14,0.16600320000000002,0.5
2016,168,8,0.14272200000000002,0.5
2016,200,12,0.609012,0.5
2016,252,10,0.7803,0.5
2016,292,9,0.2691771428571429,0.5
2016,342,10,0.04924800000000001,0.5
2017,109,14,0.13159800000000002,0.5
2017,145,9,0.522792,0.5
2017,171,10,0.638172,0.5
2017,200,12,0.47069999999999995,0.5
2017,262,14,0.27396000000000004,0.5
2017,311,10,0.334152,0.5
2018,131,9,0.2085696,0.5
2018,159,9,0.48348,0.5
2018,213,13,0.468432,0.5
2018,261,13,0.19434600000000002,0.5
2019,114,10,0.19904400000000005,0.5
2019,155,9,0.469368,0.5
2019,197,15,0.656424,0.5
2019,231,11,0.29214,0.5
2021,112,9,0.15752571428571424,0.5
2021,138,9,0.338112,0.5
2021,174,9,0.5331959999999999,0.5
2021,201,12,0.32914080000000007,0.5
2021,235,8,0.08261999999999999,0.5
2021,265,8,0.02466719999999995,0.5
2021,299,9,0.0714312,0.5
