year,doy,hour,mean,std
2014,167,11,-0.01296,-0.00324
2014,191,7,-0.07797599999999999,-0.019493999999999997
2014,254,13,-0.06199200000000001,-0.015498000000000003
2014,294,9,-0.159192,-0.039798
2015,169,6,-0.258552,-0.064638
2015,202,10,-0.13176,-0.03294
2015,283,7,-0.125496,-0.031374
2016,83,8,-0.01413675,-0.0035341875
2016,134,11,-0.030456,-0.007614
2016,134,12,-0.05794971428571428,-0.01448742857142857
2016,168,6,-0.01083323076923077,-0.0027083076923076926
2016,200,10,-0.145224,-0.036306
2016,252,8,-0.4716822857142858,-0.11792057142857144
2016,292,7,-0.09679885714285714,-0.024199714285714286
2016,342,8,-0.007632,-0.001908
2017,109,12,0.031176,0.007794
2017,125,7,-0.2161728,-0.0540432
2017,171,8,-0.2366496,-0.0591624
2017,200,10,-0.1101168,-0.0275292
2017,262,12,-0.1012608,-0.0253152
2017,311,8,-0.04469579999999999,-0.011173949999999997
2018,108,7,-0.08050909090909092,-0.02012727272727273
2018,131,7,-0.1081570909090909,-0.027039272727272724
2018,159,7,-0.1888457142857143,-0.04721142857142858
2018,213,11,-0.1376352,-0.0344088
2018,261,11,-0.0497232,-0.0124308
2019,114,8,-0.04517485714285714,-0.011293714285714285
2019,155,7,-0.17901,-0.0447525
2019,197,13,-0.2528928,-0.0632232
2019,231,9,-0.243072,-0.060768
2021,112,7,-0.04732800000000001,-0.011832000000000002
2021,138,7,-0.160434,-0.0401085
2021,174,7,-0.2268,-0.0567
2021,201,10,0.2567931428571429,0.06419828571428572
2021,235,6,0.3426377142857143,0.08565942857142858
2021,265,6,0.1864103736263736,0.0466025934065934
2021,299,7,0.0003085714285714284,7.71428571428571e-05
