year,doy,hour,mean,std
2014,168,24,-2.529792,0.5184
2014,191,24,-7.656768,1.0337109181352395
2015,169,24,-2.063232,1.5982197174005832
2015,202,24,-5.453568000000001,0.2346010594349482
2015,283,24,-3.146688,0.12463181282481606
2016,83,24,-0.5775839999999999,0.248652685390687
2016,134,24,-1.8716832,0.597133009093016
2016,168,24,-8.813664,6.179049778971521
2016,200,24,-8.525088,2.1004126102535183
2016,252,24,-5.176224,1.4625909799147543
2016,292,24,-3.3514559999999998,1.1693396556210693
2016,342,24,-0.088128,0.09530668039544762
2017,109,24,-0.6134399999999999,0.10996924661013191
2017,145,24,-3.7013759999999998,1.2169929958187928
2017,171,24,-4.97664,1.7448453795474257
2017,200,24,-0.29894399999999977,2.558617804462402
2017,262,24,-1.5016320000000003,2.0796406414493833
2017,311,24,0.9892800000000002,0.39711116831436505
2018,108,24,-0.6186240000000001,0.2248260152918251
2018,131,24,-0.730944,0.17228515302254
2018,159,24,0.6907679999999998,0.7972770379234562
2018,213,24,-5.043167999999999,0.0867535167702147
2018,261,24,-2.407104,0.789334814557169
2019,114,24,-1.75392,0.3494578281166416
2019,155,24,-6.023808,2.800550147004692
2019,199,24,-5.165856000000001,1.5505663772028595
2019,231,24,-5.3576640000000015,1.1766709387284102
2021,112,24,-0.4786560000000001,0.5184
2021,138,24,-1.1733120000000006,0.5184
2021,174,24,-9.6173568,0.5184
2021,201,24,-1.2524544,0.5184
2021,235,24,-7.654176000000001,0.5184
2021,265,24,-5.795712,0.5184
2021,299,24,-2.8771200000000006,0.5184
