year,doy,hour,mean,std
2014,168,11,0.525096,0.131274
2014,191,10,0.555984,0.138996
2015,99,10,0.0108,0.0027
2015,169,8,0.17712,0.04428
2015,202,12,0.504576,0.126144
2015,283,10,0.361368,0.090342
2016,83,10,0.0519588,0.0129897
2016,134,11,0.08008354285714285,0.020020885714285713
2016,168,7,0.068976,0.017244
2016,200,12,0.5430240000000001,0.13575600000000002
2016,252,12,0.532296,0.133074
2016,292,10,0.244512,0.061128
2016,342,10,0.015966,0.0039915
2017,109,15,0.11437200000000002,0.028593000000000004
2017,145,10,0.26929800000000004,0.06732450000000001
2017,171,10,0.23637600000000003,0.05909400000000001
2017,200,13,0.142128,0.035532
2017,262,13,0.14468400000000003,0.03617100000000001
2017,311,11,0.050544,0.012636
2018,108,9,0.11005200000000002,0.027513000000000006
2018,131,9,0.12086999999999999,0.030217499999999998
2018,159,10,0.016488000000000017,0.004122000000000004
2018,213,11,0.437904,0.109476
2018,261,13,0.09793440000000002,0.024483600000000005
2019,114,13,0.111564,0.027891
2019,155,10,0.118008,0.029502
2019,199,12,0.16081199999999995,0.04020299999999999
2019,231,11,0.319464,0.079866
2021,112,9,0.016704,0.004176
2021,138,10,0.09093600000000002,0.022734000000000004
2021,174,9,0.278388,0.069597
2021,201,14,0.18403200000000006,0.046008000000000014
2021,235,9,0.034236000000000016,0.008559000000000004
2021,265,9,0.1982016,0.0495504
2021,299,10,0.08524799999999999,0.021311999999999998
